timestamp,Hanover Park IL TGS - ESN (),Hanover Park IL TGS - Reflector_url  (),Hanover Park IL TGS - Reflector_status (),Hanover Park IL TGS - GPS_gs (meter_per_sec),Hanover Park IL TGS - Location (),Hanover Park IL TGS - Outside_Temp (°F),Hanover Park IL TGS - Conveyor_RPM (),Hanover Park IL TGS - Liq_GPM (gal/min),Hanover Park IL TGS - Pressure (psi),Hanover Park IL TGS - GPS_gs - transformed (meter_per_sec),Hanover Park IL TGS - Liq_GPM - transformed (gal/min)
"2019-02-01T05:58:27.999068Z","","","","","{""alt"":248.216,""lat"":42.01221546,""lng"":-88.13910308}","","","","","",""
"2019-02-01T05:58:27.998983Z","","","",10.629,"","","","","",12.86594,""
"2019-02-01T05:58:27.846547Z","","","","","","","","",915.0,"",""
"2019-02-01T05:58:26.845803Z","","","","","","",13020.0,"","","",""
"2019-02-01T05:58:25.845785Z","","","","","","","",0.0,"","",0.0012642225031605564
"2019-02-01T05:58:24.999314Z","","","","","{""alt"":248.871,""lat"":42.01215562,""lng"":-88.13949248}","","","","","",""
"2019-02-01T05:58:24.999231Z","","","",10.822,"","","","","",13.05894,""
"2019-02-01T05:58:22.846577Z","","","","","","","","",1084.0,"",""
"2019-02-01T05:58:21.845682Z","","","","","","",12060.0,1320.0,"","",1320.001264222503
"2019-02-01T05:58:18.996972Z","","","","","{""alt"":249.932,""lat"":42.01200647,""lng"":-88.14025854}","","","","","",""
"2019-02-01T05:58:18.996889Z","","","",9.878,"","","","","",12.11494,""
"2019-02-01T05:58:17.846450Z","","","","","","","","",939.0,"",""
"2019-02-01T05:58:16.845600Z","","","","","","",12960.0,660.0,"","",660.0012642225032
"2019-02-01T05:58:14.996494Z","","","","","{""alt"":245.248,""lat"":42.0119073,""lng"":-88.14072326}","","","","","",""
"2019-02-01T05:58:14.996409Z","","","",10.394,"","","","","",12.63094,""
"2019-02-01T05:58:12.846420Z","","","","","","","","",997.0,"",""
"2019-02-01T05:58:11.845532Z","","","","","","",10920.0,2340.0,"","",2340.0012642225033
"2019-02-01T05:58:08.998042Z","","","","","{""alt"":245.729,""lat"":42.01177374,""lng"":-88.14133337}","","","","","",""
"2019-02-01T05:58:08.997958Z","","","",7.223,"","","","","",9.45994,""
"2019-02-01T05:58:07.846423Z","","","","","","","","",820.0,"",""
"2019-02-01T05:58:06.845590Z","","","","","","",7560.0,2340.0,"","",2340.0012642225033
"2019-02-01T05:58:04.998342Z","","","","","{""alt"":246.99,""lat"":42.0117096,""lng"":-88.14161522}","","","","","",""
"2019-02-01T05:58:04.998262Z","","","",3.987,"","","","","",6.223940000000001,""
"2019-02-01T05:58:02.846376Z","","","","","","","","",762.0,"",""
"2019-02-01T05:58:01.845548Z","","","","","","",9.6e3,360.0,"","",360.00126422250315
"2019-02-01T05:57:58.996505Z","","","","","{""alt"":245.707,""lat"":42.01160162,""lng"":-88.14208045}","","","","","",""
"2019-02-01T05:57:58.996417Z","","","",9.513,"","","","","",11.74994,""
"2019-02-01T05:57:57.846430Z","","","","","","","","",851.0,"",""
"2019-02-01T05:57:56.845559Z","","","","","","",11220.0,1380.0,"","",1380.001264222503
"2019-02-01T05:57:54.998770Z","","","","","{""alt"":245.993,""lat"":42.01149874,""lng"":-88.1425024}","","","","","",""
"2019-02-01T05:57:54.998684Z","","","",9.218,"","","","","",11.45494,""
"2019-02-01T05:57:52.846430Z","","","","","","","","",857.0,"",""
"2019-02-01T05:57:51.845627Z","","","","","","",10920.0,600.0,"","",600.0012642225032
"2019-02-01T05:57:48.997143Z","","","","","{""alt"":246.82,""lat"":42.01131998,""lng"":-88.1431371}","","","","","",""
"2019-02-01T05:57:48.997018Z","","","",8.767,"","","","","",11.00394,""
"2019-02-01T05:57:47.846479Z","","","","","","","","",1089.0,"",""
"2019-02-01T05:57:46.845582Z","","","","","","",10680.0,960.0,"","",960.0012642225032
"2019-02-01T05:57:44.994814Z","","","","","{""alt"":247.249,""lat"":42.01115402,""lng"":-88.14349473}","","","","","",""
"2019-02-01T05:57:44.994725Z","","","",8.555,"","","","","",10.79194,""
"2019-02-01T05:57:42.846463Z","","","","","","","","",1141.0,"",""
"2019-02-01T05:57:41.845620Z","","","","","","",9480.0,360.0,"","",360.00126422250315
"2019-02-01T05:57:38.996737Z","","","","","{""alt"":245.22,""lat"":42.01098799,""lng"":-88.14403161}","","","","","",""
"2019-02-01T05:57:38.996651Z","","","",7.162,"","","","","",9.39894,""
"2019-02-01T05:57:37.846384Z","","","","","","","","",1010.0,"",""
"2019-02-01T05:57:36.845601Z","","","","","","",7.5e3,240.0,"","",240.00126422250315
"2019-02-01T05:57:34.996167Z","","","","","{""alt"":246.395,""lat"":42.01094538,""lng"":-88.14435639}","","","","","",""
"2019-02-01T05:57:34.996084Z","","","",5.884,"","","","","",8.120940000000001,""
"2019-02-01T05:57:32.846483Z","","","","","","","","",1080.0,"",""
"2019-02-01T05:57:31.845638Z","","","","","","",10260.0,2160.0,"","",2160.0012642225033
"2019-02-01T05:57:28.994922Z","","","","","{""alt"":246.07,""lat"":42.01099855,""lng"":-88.14465151}","","","","","",""
"2019-02-01T05:57:28.994837Z","","","",2.94,"","","","","",5.17694,""
"2019-02-01T05:57:27.846450Z","","","","","","","","",15.0,"",""
"2019-02-01T05:57:24.995820Z","","","","","{""alt"":246.54,""lat"":42.01107555,""lng"":-88.14467115}","","","","","",""
"2019-02-01T05:57:24.995731Z","","","",0.253,"","","","","",2.4899400000000003,""
"2019-02-01T05:57:19.846497Z","","","","","","","","",2.0,"",""
"2019-02-01T05:57:18.997373Z","","","","","{""alt"":245.612,""lat"":42.01101983,""lng"":-88.14465945}","","","","","",""
"2019-02-01T05:57:18.997287Z","","","",1.169,"","","","","",3.40594,""
"2019-02-01T05:57:15.001541Z","","","","","{""alt"":246.143,""lat"":42.01103031,""lng"":-88.14465}","","","","","",""
"2019-02-01T05:57:15.001427Z","","","",1.632,"","","","","",3.8689400000000003,""
"2019-02-01T05:57:13.846430Z","","","","","","","","",2.0,"",""
"2019-02-01T05:57:10.846378Z","","","","","","","","",6.0,"",""
"2019-02-01T05:57:09.002973Z","","","","","{""alt"":247.551,""lat"":42.01110455,""lng"":-88.14450477}","","","","","",""
"2019-02-01T05:57:09.002889Z","","","",2.724,"","","","","",4.960940000000001,""
"2019-02-01T05:57:06.846390Z","","","","","","","","",3.0,"",""
"2019-02-01T05:57:05.001079Z","","","","","{""alt"":246.116,""lat"":42.01108772,""lng"":-88.14442838}","","","","","",""
"2019-02-01T05:57:05.000997Z","","","",0.732,"","","","","",2.96894,""
"2019-02-01T05:56:58.999591Z","","","","","{""alt"":245.051,""lat"":42.01108194,""lng"":-88.14435445}","","","","","",""
"2019-02-01T05:56:58.999500Z","","","",3.396,"","","","","",5.63294,""
"2019-02-01T05:56:55.003532Z","","","","","{""alt"":245.575,""lat"":42.01112918,""lng"":-88.14409742}","","","","","",""
"2019-02-01T05:56:55.003449Z","","","",6.862,"","","","","",9.09894,""
"2019-02-01T05:56:51.845410Z","","","","","","","",0.0,"","",0.0012642225031605564
"2019-02-01T05:56:50.846142Z","","","","","","","","",2.0,"",""
"2019-02-01T05:56:50.845385Z","","","","","","",0.0,"","","",""
"2019-02-01T05:56:49.001366Z","","","","","{""alt"":246.411,""lat"":42.01126392,""lng"":-88.14361702}","","","","","",""
"2019-02-01T05:56:49.001281Z","","","",6.166,"","","","","",8.402940000000001,""
"2019-02-01T05:56:48.846225Z","","","","","","","","",99.0,"",""
"2019-02-01T05:56:48.845339Z","","","","","","",180.0,300.0,"","",300.00126422250315
"2019-02-01T05:56:45.000790Z","","","","","{""alt"":245.91,""lat"":42.0113717,""lng"":-88.14330068}","","","","","",""
"2019-02-01T05:56:45.000705Z","","","",8.998,"","","","","",11.23494,""
"2019-02-01T05:56:43.846044Z","","","","","","","","",1155.0,"",""
"2019-02-01T05:56:43.845227Z","","","","","","",11160.0,420.0,"","",420.00126422250315
"2019-02-01T05:56:39.001726Z","","","","","{""alt"":245.92,""lat"":42.01156706,""lng"":-88.14264073}","","","","","",""
"2019-02-01T05:56:39.001640Z","","","",10.509,"","","","","",12.745940000000001,""
"2019-02-01T05:56:38.846012Z","","","","","","","","",861.0,"",""
"2019-02-01T05:56:38.845144Z","","","","","","",12360.0,2520.0,"","",2520.0012642225033
"2019-02-01T05:56:35.004494Z","","","","","{""alt"":246.586,""lat"":42.01169046,""lng"":-88.14215796}","","","","","",""
"2019-02-01T05:56:35.004412Z","","","",10.017,"","","","","",12.25394,""
"2019-02-01T05:56:33.845927Z","","","","","","","","",939.0,"",""
"2019-02-01T05:56:33.845018Z","","","","","","",1.2e4,1740.0,"","",1740.001264222503
"2019-02-01T05:56:29.002210Z","","","","","{""alt"":246.266,""lat"":42.01184027,""lng"":-88.14152098}","","","","","",""
"2019-02-01T05:56:29.002124Z","","","",7.567,"","","","","",9.80394,""
"2019-02-01T05:56:28.845809Z","","","","","","","","",850.0,"",""
"2019-02-01T05:56:28.844920Z","","","","","","",9060.0,1560.0,"","",1560.001264222503
"2019-02-01T05:56:25.002879Z","","","","","{""alt"":246.88,""lat"":42.01191781,""lng"":-88.14121441}","","","","","",""
"2019-02-01T05:56:25.002797Z","","","",5.952,"","","","","",8.18894,""
"2019-02-01T05:56:24.844826Z","","","","","","",7380.0,2160.0,"","",2160.0012642225033
"2019-02-01T05:56:23.845609Z","","","","","","","","",857.0,"",""
"2019-02-01T05:56:19.002668Z","","","","","{""alt"":248.796,""lat"":42.01205095,""lng"":-88.14069692}","","","","","",""
"2019-02-01T05:56:19.002584Z","","","",9.414,"","","","","",11.65094,""
"2019-02-01T05:56:18.845546Z","","","","","","","","",927.0,"",""
"2019-02-01T05:56:18.844698Z","","","","","","",11220.0,2220.0,"","",2220.0012642225033
"2019-02-01T05:56:15.003143Z","","","","","{""alt"":250.793,""lat"":42.012169,""lng"":-88.14024234}","","","","","",""
"2019-02-01T05:56:15.003062Z","","","",9.707,"","","","","",11.943940000000001,""
"2019-02-01T05:56:14.845502Z","","","","","","","","",784.0,"",""
"2019-02-01T05:56:14.844677Z","","","","","","",11520.0,2280.0,"","",2280.0012642225033
"2019-02-01T05:56:09.845320Z","","","","","","","","",896.0,"",""
"2019-02-01T05:56:09.844498Z","","","","","","",11940.0,1620.0,"","",1620.001264222503
"2019-02-01T05:56:09.002535Z","","","","","{""alt"":250.402,""lat"":42.0122948,""lng"":-88.1395425}","","","","","",""
"2019-02-01T05:56:09.002447Z","","","",10.063,"","","","","",12.299940000000001,""
"2019-02-01T05:56:05.002387Z","","","","","{""alt"":249.336,""lat"":42.01235736,""lng"":-88.13905929}","","","","","",""
"2019-02-01T05:56:05.002301Z","","","",10.264,"","","","","",12.50094,""
"2019-02-01T05:56:04.845267Z","","","","","","","","",798.0,"",""
"2019-02-01T05:56:04.844390Z","","","","","","",12660.0,1380.0,"","",1380.001264222503
"2019-02-01T05:55:59.845261Z","","","","","","","","",769.0,"",""
"2019-02-01T05:55:59.844420Z","","","","","","",11520.0,1560.0,"","",1560.001264222503
"2019-02-01T05:55:59.002804Z","","","","","{""alt"":250.833,""lat"":42.01245415,""lng"":-88.13833462}","","","","","",""
"2019-02-01T05:55:59.002722Z","","","",9.481,"","","","","",11.71794,""
"2019-02-01T05:55:55.006075Z","","","","","{""alt"":252.532,""lat"":42.01253851,""lng"":-88.13786523}","","","","","",""
"2019-02-01T05:55:55.005992Z","","","",9.953,"","","","","",12.18994,""
"2019-02-01T05:55:54.845165Z","","","","","","","","",800.0,"",""
"2019-02-01T05:55:54.844374Z","","","","","","","",1920.0,"","",1920.001264222503
"2019-02-01T05:55:53.844379Z","","","","","","",1.17e4,"","","",""
"2019-02-01T05:55:49.845296Z","","","","","","","","",753.0,"",""
"2019-02-01T05:55:49.844412Z","","","","","","",12240.0,480.0,"","",480.00126422250315
"2019-02-01T05:55:49.006424Z","","","","","{""alt"":252.004,""lat"":42.01265088,""lng"":-88.13713384}","","","","","",""
"2019-02-01T05:55:49.006340Z","","","",10.185,"","","","","",12.421940000000001,""
"2019-02-01T05:55:44.993739Z","","","","","{""alt"":248.809,""lat"":42.01269533,""lng"":-88.13667578}","","","","","",""
"2019-02-01T05:55:44.993649Z","","","",9.814,"","","","","",12.05094,""
"2019-02-01T05:55:44.845281Z","","","","","","","","",946.0,"",""
"2019-02-01T05:55:44.844433Z","","","","","","",12180.0,1.5e3,"","",1500.001264222503
"2019-02-01T05:55:39.845232Z","","","","","","","","",608.0,"",""
"2019-02-01T05:55:39.844411Z","","","","","","",8.4e3,1560.0,"","",1560.001264222503
"2019-02-01T05:55:39.000341Z","","","","","{""alt"":247.831,""lat"":42.01268726,""lng"":-88.13609911}","","","","","",""
"2019-02-01T05:55:39.000255Z","","","",6.298,"","","","","",8.53494,""
"2019-02-01T05:55:34.994190Z","","","","","{""alt"":247.429,""lat"":42.01270228,""lng"":-88.13597065}","","","","","",""
"2019-02-01T05:55:34.994105Z","","","",2.96,"","","","","",5.19694,""
"2019-02-01T05:55:34.845194Z","","","","","","","","",683.0,"",""
"2019-02-01T05:55:34.844437Z","","","","","","",7320.0,"","","",""
"2019-02-01T05:55:33.844402Z","","","","","","","",1320.0,"","",1320.001264222503
"2019-02-01T05:55:29.845334Z","","","","","","","","",935.0,"",""
"2019-02-01T05:55:29.844451Z","","","","","","",7.5e3,1080.0,"","",1080.001264222503
"2019-02-01T05:55:28.995828Z","","","","","{""alt"":248.293,""lat"":42.01282807,""lng"":-88.13594693}","","","","","",""
"2019-02-01T05:55:28.995742Z","","","",4.675,"","","","","",6.9119399999999995,""
"2019-02-01T05:55:24.995879Z","","","","","{""alt"":247.728,""lat"":42.01308553,""lng"":-88.13597271}","","","","","",""
"2019-02-01T05:55:24.995794Z","","","",6.961,"","","","","",9.197940000000001,""
"2019-02-01T05:55:24.845242Z","","","","","","","","",805.0,"",""
"2019-02-01T05:55:24.844407Z","","","","","","",9180.0,1920.0,"","",1920.001264222503
"2019-02-01T05:55:19.845279Z","","","","","","","","",1038.0,"",""
"2019-02-01T05:55:19.844417Z","","","","","","",10140.0,840.0,"","",840.0012642225032
"2019-02-01T05:55:18.999766Z","","","","","{""alt"":245.825,""lat"":42.01358213,""lng"":-88.13604062}","","","","","",""
"2019-02-01T05:55:18.999673Z","","","",6.654,"","","","","",8.89094,""
"2019-02-01T05:55:15.000419Z","","","","","{""alt"":245.655,""lat"":42.01379944,""lng"":-88.13612747}","","","","","",""
"2019-02-01T05:55:15.000326Z","","","",10.985,"","","","","",13.22194,""
"2019-02-01T05:55:14.845251Z","","","","","","","","",1023.0,"",""
"2019-02-01T05:55:14.844418Z","","","","","","",10740.0,1980.0,"","",1980.001264222503
"2019-02-01T05:55:09.845335Z","","","","","","","","",835.0,"",""
"2019-02-01T05:55:09.844467Z","","","","","","",7.8e3,1980.0,"","",1980.001264222503
"2019-02-01T05:55:09.000199Z","","","","","{""alt"":245.429,""lat"":42.01423264,""lng"":-88.1361005}","","","","","",""
"2019-02-01T05:55:09.000118Z","","","",5.508,"","","","","",7.74494,""
"2019-02-01T05:55:05.004083Z","","","","","{""alt"":245.288,""lat"":42.014381,""lng"":-88.13607427}","","","","","",""
"2019-02-01T05:55:05.003997Z","","","",2.27,"","","","","",4.50694,""
"2019-02-01T05:55:04.845289Z","","","","","","","","",698.0,"",""
"2019-02-01T05:55:04.844426Z","","","","","","",7680.0,900.0,"","",900.0012642225032
"2019-02-01T05:54:59.845302Z","","","","","","","","",654.0,"",""
"2019-02-01T05:54:59.844449Z","","","","","","",7.2e3,1740.0,"","",1740.001264222503
"2019-02-01T05:54:59.002804Z","","","","","{""alt"":247.016,""lat"":42.01438007,""lng"":-88.13607323}","","","","","",""
"2019-02-01T05:54:59.002719Z","","","",1.822,"","","","","",4.05894,""
"2019-02-01T05:54:55.014463Z","","","","","{""alt"":248.951,""lat"":42.01433821,""lng"":-88.13610014}","","","","","",""
"2019-02-01T05:54:55.014376Z","","","",1.323,"","","","","",3.55994,""
"2019-02-01T05:54:53.845137Z","","","","","","","","",869.0,"",""
"2019-02-01T05:54:53.844337Z","","","","","","",7320.0,1140.0,"","",1140.001264222503
"2019-02-01T05:54:48.997580Z","","","","","{""alt"":258.157,""lat"":42.01415764,""lng"":-88.13590941}","","","","","",""
"2019-02-01T05:54:48.997494Z","","","",2.585,"","","","","",4.82194,""
